node	pagerank
2846	0.00035067
4349	0.00035058
9619	0.00034989
4728	0.00034980
4560	0.00034958
9421	0.00034951
5816	0.00034897
3637	0.00034876
7648	0.00034863
7767	0.00034844
3463	0.00034798
8830	0.00034653
5848	0.00034629
9013	0.00034622
1528	0.00034608
7570	0.00034551
9939	0.00034547
2778	0.00034539
1690	0.00034527
4066	0.00034522
8884	0.00034518
7135	0.00034506
822	0.00034469
4415	0.00034439
2353	0.00034384
5007	0.00034378
5381	0.00034377
9738	0.00034370
5280	0.00034364
2328	0.00034363
7371	0.00034345
8743	0.00034334
9783	0.00034322
4944	0.00034282
4558	0.00034231
831	0.00034214
8481	0.00034159
9555	0.00034147
7419	0.00034007
7561	0.00033957
7998	0.00033949
5345	0.00033890
1729	0.00033878
1916	0.00033722
2847	0.00033683
4082	0.00033672
6636	0.00033645
2826	0.00033589
9998	0.00033554
5400	0.00033480
8626	0.00033473
8795	0.00033406
6358	0.00033367
4625	0.00033283
5685	0.00033269
9460	0.00033268
7247	0.00033258
9239	0.00033243
4342	0.00033240
8920	0.00033203
6797	0.00033192
9211	0.00033105
7692	0.00033072
4462	0.00033045
5399	0.00033043
5640	0.00033019
8800	0.00032993
7018	0.00032987
4879	0.00032901
8635	0.00032866
9086	0.00032852
1771	0.00032817
9501	0.00032773
8079	0.00032753
4742	0.00032735
9615	0.00032720
539	0.00032708
4399	0.00032677
2167	0.00032608
3974	0.00032584
1279	0.00032537
2362	0.00032498
7600	0.00032490
6155	0.00032440
4026	0.00032426
8948	0.00032413
3764	0.00032333
6685	0.00032268
9459	0.00032236
8220	0.00032189
1169	0.00032187
6286	0.00032141
5090	0.00032117
6642	0.00032094
8540	0.00032074
9588	0.00032031
8394	0.00032009
7333	0.00031992
1350	0.00031968
6270	0.00031968
9653	0.00031898
7469	0.00031838
9468	0.00031803
5021	0.00031787
9157	0.00031770
5528	0.00031744
5512	0.00031743
310	0.00031729
4366	0.00031719
3590	0.00031697
5244	0.00031666
5322	0.00031636
5438	0.00031623
9964	0.00031612
9085	0.00031592
5700	0.00031544
7869	0.00031544
7405	0.00031536
5484	0.00031514
7216	0.00031500
3977	0.00031498
1530	0.00031482
8528	0.00031418
5766	0.00031414
9309	0.00031390
6340	0.00031372
8566	0.00031370
8019	0.00031336
6818	0.00031272
8185	0.00031253
6225	0.00031242
3727	0.00031239
5916	0.00031239
5905	0.00031238
4144	0.00031181
8031	0.00031142
7285	0.00031131
5770	0.00031100
8044	0.00031070
4269	0.00031017
6114	0.00030994
1269	0.00030983
8006	0.00030944
6895	0.00030902
9521	0.00030817
9088	0.00030798
4266	0.00030793
7949	0.00030788
1124	0.00030780
7965	0.00030766
9866	0.00030715
4060	0.00030714
1374	0.00030690
8582	0.00030682
1584	0.00030582
5666	0.00030571
8144	0.00030549
8773	0.00030516
2441	0.00030511
6199	0.00030509
7467	0.00030505
4842	0.00030448
6625	0.00030392
6932	0.00030379
6044	0.00030282
4982	0.00030246
7564	0.00030229
5682	0.00030217
3626	0.00030215
9540	0.00030179
8056	0.00030145
9798	0.00030135
7758	0.00030115
7657	0.00030078
8145	0.00030071
9402	0.00030065
2067	0.00030039
7801	0.00030028
8035	0.00030004
7168	0.00029996
3066	0.00029986
8401	0.00029983
8903	0.00029946
6990	0.00029923
5243	0.00029916
8798	0.00029911
8004	0.00029910
1462	0.00029890
8579	0.00029869
3262	0.00029866
8362	0.00029830
5661	0.00029799
5928	0.00029763
7569	0.00029757
7296	0.00029727
6331	0.00029670
6065	0.00029643
8393	0.00029557
1862	0.00029546
6089	0.00029543
4754	0.00029524
6730	0.00029519
7601	0.00029509
7091	0.00029500
9951	0.00029485
5221	0.00029439
356	0.00029398
7926	0.00029382
9042	0.00029375
2455	0.00029346
2390	0.00029337
7951	0.00029308
1354	0.00029298
7099	0.00029288
6807	0.00029275
6790	0.00029273
2956	0.00029267
6247	0.00029220
6695	0.00029215
3830	0.00029163
9418	0.00029163
6821	0.00029139
4059	0.00029108
3150	0.00029103
5963	0.00029095
6353	0.00029039
8875	0.00029036
7790	0.00029027
4913	0.00029012
2981	0.00029003
4757	0.00028989
8386	0.00028987
6021	0.00028979
4102	0.00028971
